body,quantity,value,unit,source,url,retrieved,note,sigma,record_id
AT2018cow,blackbody_temperature(t=4.1 d),27000,K,Prentice et al. 2018 ApJL 865 L3 (T at t=4.1 rest-frame days since explosion),https://doi.org/10.3847/2041-8213/aadd90,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (blackbody UV-optical SED); orig 27000 +/- 2000 K; the 1-sigma IS printed so it goes in the sigma column; this epoch is not one of the corrected Table 4 epochs above; record_stream=2; collate=only-2; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=; confirmation_2=not-found-by-author 2026-09-16 (the Prentice et al. 2018 blackbody temperature record: the original hypothesis author could not find the printed record for this row in the second confirmation record; the mark on this row is NOT changed),2000,TRN-2701bd2c
AT2018cow,blackbody_temperature(t=~0 d peak),30000,K,Margutti et al. 2019 ApJ 872 18 (initial T_bb),https://doi.org/10.3847/1538-4357/aafb74,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (blackbody to UVOT+UVOIR); orig T_bb approximately 30000 K initially; no printed 1-sigma; sigma_kind=digits; digits=1 significant figure; record_stream=2; collate=only-2; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-c76f7854
AT2018cow,blackbody_temperature(t=20 d),15000,K,Margutti et al. 2019 ApJ 872 18 (T_bb after about 20 days),https://doi.org/10.3847/1538-4357/aafb74,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (blackbody); orig approximately 15000 K after 20 days then a plateau; no printed 1-sigma; sigma_kind=digits; digits=2 significant figures; record_stream=2; collate=only-2; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-32e13c0d
AT2018cow,photospheric_radius(t=early),8e14,cm,Margutti et al. 2019 ApJ 872 18 (initial R_bb),https://doi.org/10.3847/1538-4357/aafb74,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (blackbody radius); orig R_bb approximately 8e14 cm initially then monotonically decreasing; no printed 1-sigma; sigma_kind=digits; digits=1 significant figure; record_stream=2; collate=only-2; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-de5e1136
AT2018cow,photospheric_radius(t=30 d),,cm,Perley et al. 2019 MNRAS 484 1031,https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived; VALUE LEFT EMPTY because the printed quantity is an upper limit; upper_limit=1e14 cm at t about 30 d; sigma_kind=none; record_stream=2; collate=only-2; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-dd1313c9
AT2018cow,ejecta_velocity,6000,km/s,Perley et al. 2019 MNRAS 484 1031 Table 3 v_spec row,https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (line-of-sight velocity width of LATE-time emission features - NOT a photospheric expansion solution); definition=late-time spectral line width; orig approximately 6000 km/s; no printed 1-sigma; sigma_kind=digits; digits=1 significant figure; the 0.1c row below is a DIFFERENT DEFINITION (early broad absorption) and the two must not be compared as one quantity; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-8e51f025
AT2018cow,ejecta_velocity_candidate,0.1,c,AT2018cow optical spectra - broad absorption appearing about 4-15 d (early-time blueshift),https://doi.org/10.3847/1538-4357/ace965,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (spectroscopic line width / blueshift of the broad early absorption); definition=early broad absorption - DIFFERENT DEFINITION from the late-time line-width row; orig approximately 0.1c; not a tabulated 1-sigma centroid; sigma_kind=digits; digits=1 significant figure; record_stream=2; collate=only-2; candidate_for=AT2018cow|ejecta_velocity; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-1ec5d732
AT2018cow,qpo_frequency,224.4,Hz,"Pasham et al. 2022 Nature Astronomy 6 249 (NICER soft X-ray QPO) methods, Lorentzian centroid",https://doi.org/10.1038/s41550-021-01524-8,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (average power-density spectrum over the roughly 60 d NICER outburst; 0.25-2.5 keV); orig 224.4 +/- 1.0 Hz; the 1-sigma IS printed in the methods so it goes in the sigma column; significance=3.7 sigma (global false-alarm probability about 2e-4); fwhm_upper_limit=16 Hz; fractional rms greater than 30%; z=0.014; distance about 60 Mpc; record_stream=1+2; collate=partial; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=; confirmation_2=not-found-by-author 2026-09-16 (the QPO frequency record: the original hypothesis author could not find the printed record for this row in the second confirmation record; the mark on this row is NOT changed),1.0,TRN-9c6d1fbf
AT2018cow,qpo_frequency_candidate,224,Hz,Pasham et al. 2022 Nature Astronomy 6 249 (NICER soft X-ray QPO) abstract headline value,https://doi.org/10.1038/s41550-021-01524-8,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed; orig 224 Hz at 3.7-sigma significance (FAP 0.02%); the abstract prints NO symmetric 1-sigma on this rounded headline value so the sigma column is empty; sigma_kind=digits; digits=1 Hz; record_stream=2; collate=only-2; candidate_for=AT2018cow|qpo_frequency; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-8d42081e
AT2018cow,redshift,0.0140,1,Perley et al. 2019 MNRAS 484 1031 Table 3 z row,https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (host-galaxy emission-line redshift); orig 0.0140 with no printed uncertainty; sigma_kind=digits; digits=1e-4; the other stream quotes z about 0.014 and 0.0141 in passing without a table reference; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-c318b034
AT2018cow,distance,60,Mpc,Perley et al. 2019 MNRAS 484 1031 adopted-distance statement,https://doi.org/10.1093/mnras/sty3420,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (adopted cosmological luminosity distance to CGCG 137-068); orig 60 Mpc with no printed uncertainty; sigma_kind=digits; digits=1 significant figure; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-90b6d48b
AT2022tsd,optical_flare_duration_T90,,min,"Ho et al. 2023 Nature 623 927 Extended Data Table 2 and Methods Sec. 4, T90 column",https://doi.org/10.1038/s41586-023-06673-6,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed; VALUE LEFT EMPTY because the printed quantity is a RANGE over many flares and not a measurement of one flare; range_lo=10; range_hi=80; range_unit=min; epoch=26 to more than 100 observer-frame d after discovery; band=multi-instrument optical including g-band; z=0.2564 +/- 0.0003; distance=1.34 Gpc; sigma_kind=none; the range is NOT a 1-sigma uncertainty; the other stream reports the same thing as tens of minutes with no single printed 1-sigma; record_stream=1+2; collate=agree; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-1c4edccc
AT2022tsd,flare_count,,count,Ho et al. 2023 Nature 623 927 main text and Extended Data Figure 4 / Table 2,https://doi.org/10.1038/s41586-023-06673-6,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed; VALUE LEFT EMPTY because the printed quantity is a lower limit; lower_limit=14 optical flares detected in 60 hr on 20 nights beginning 26 observer-frame d after discovery; the authors note this is likely only a fraction of the total; sigma_kind=none; one stream put 14 in the value column and the other left it empty - this record keeps the value EMPTY because a lower limit is not a measured value; record_stream=1+2; collate=agree; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-3d738cef
AT2022tsd,rise_time_to_peak,,d,Ho et al. 2023 Nature 623 927,https://doi.org/10.1038/s41586-023-06673-6,2026-09-16,"intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed; VALUE LEFT EMPTY because the printed quantity is an upper limit; upper_limit=4 d (t_half,rise); sigma_kind=none; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=",,TRN-33d7edf9
AT2022tsd,redshift,0.2564,1,"Ho et al. 2023 Nature 623 927 Methods Sec. 1, host-line redshift",https://doi.org/10.1038/s41586-023-06673-6,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=observed (host-galaxy narrow emission lines; 2022 Keck/LRIS spectra); orig 0.2564 +/- 0.0003; the 1-sigma IS printed so it goes in the sigma column; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=; confirmation_2=not-found-by-author 2026-09-16 (the AT2022tsd redshift record: the original hypothesis author could not find the printed record for this row in the second confirmation record; the mark on this row is NOT changed),0.0003,TRN-bd4f899e
AT2022tsd,distance,1.34,Gpc,Ho et al. 2023 Nature 623 927 main-text luminosity-distance statement,https://doi.org/10.1038/s41586-023-06673-6,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=model-derived (Planck cosmology at z=0.2564); orig 1.34 Gpc with no printed distance uncertainty; sigma_kind=digits; digits=3 significant figures; record_stream=1; collate=only-1; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-1ae88253
AT2022tsd,qpo_frequency,,Hz,Ho et al. 2023 Nature 623 927,https://doi.org/10.1038/s41586-023-06673-6,2026-09-16,intake_row=2026-09-16. Observation record provided by the original hypothesis author (2026-09-16 intake B). kind=not published; NO X-ray QPO centroid is printed for this transient in the recovered abstract or tables - the X-ray variability is discussed without one; sigma_kind=none; record_stream=2; collate=only-2; gate=not-connected (this file is a RECORD ONLY - no body in it is wired to the calibration gate and the LFBOT toy preset and its obsCard were not touched); sigma_primary=unverified; verified_by=,,TRN-a6e43356
