body,quantity,value,unit,source,url,retrieved,note,sigma,record_id,solution_id
Deimos,eccentricity,0.00033,1,Wikipedia,https://en.wikipedia.org/wiki/Deimos_(moon),2026-08-23,,,SOL-d2854a3c,
Deimos,orbital_period,109123.2,s,Wikipedia,https://en.wikipedia.org/wiki/Deimos_(moon),2026-08-23,"1.263 d x 86400 s/d. Compared against, not fitted to.; superseded_by=SOL-7b5370e1; superseded_on=2026-09-23 (AM7: the judgement row is now the lambda_dot-derived period of Jacobson 2010 Table 6; this secondary-source value stays as the history row; its orbital_period_candidate copy is SOL-51e498c2)",,SOL-64b859aa,
Pluto,mass,1.303e22,kg,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Mass (10^24 kg) listed as 0.01303; converted to kg. Transcribed observation record (wave 181 device intake, accepted).",,SOL-801bc9a8,
Pluto,radius,1188000,m,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Equatorial/volumetric mean radius listed as 1188 km; converted to m.",,SOL-e3ec70b7,
Pluto,rotation_period,551854.08,s,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Sidereal rotation period listed as 6.3872 d (tidally locked); converted to s. The 2D idealization preserves the co-rotating relative geometry; the ecliptic-frame retrograde sign is not transcribed (declared in the preset).",,SOL-5d8c1a3b,
Charon,mass,1.586e21,kg,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Mass (10^21 kg) listed as 1.586; converted to kg.",,SOL-66c9d628,
Charon,radius,606000,m,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Equatorial radius listed as 606 km; converted to m. sigma_primary=unverified; intake 2026-09-14. sigma transcribed at the 2026-09-14 intake from the observation record provided by the original hypothesis author: 606000 +/- 500 m - JPL Solar System Dynamics, Planetary Satellite Physical Parameters; Nimmo et al. 2017, Icarus 287, 12-29. The value of this row is unchanged.",500,SOL-5c2e5981,
Charon,semi_major_axis,19596000,m,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Mean distance from Pluto listed as 19596 km; converted to m (relative orbit).",,SOL-ec46ed96,
Charon,eccentricity,0.0,1,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Orbital eccentricity listed as 0.0.",,SOL-5f236ce9,
Charon,orbital_period,551854.08,s,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Sidereal orbit period listed as 6.3872 d; converted to s. Compared against, not fitted to.",,SOL-69ad9d96,
Charon,rotation_period,551854.08,s,NASA NSSDC Pluto Fact Sheet (archived),https://web.archive.org/web/20230803202945/https://nssdc.gsfc.nasa.gov/planetary/factsheet/plutofact.html,2026-08-23,"Sidereal rotation period listed as 6.3872 d (tidally locked); converted to s.",,SOL-a0392d22,
Sun,mass,1.9885e30,kg,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"Bit-copy of the committed solarInner declaration (bodies[0].m=1988.5 at 1e27 kg) - no new observation transcribed. TODO(ref-verify): pin the primary reference at submission.",,SOL-6158e6a7,
Sun,radius,6.96e8,m,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"Bit-copy (bodies[0].radius=6.96 at 1e8 m).",,SOL-e17c6ac9,
Sun,rotation_period,2164320,s,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"25.05 d x 86400 s/d (the solarInner declaration).",,SOL-02e790ae,
Venus,mass,4.8675e24,kg,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"Bit-copy (bodies[2].m=0.0048675 at 1e27 kg).",,SOL-9999398b,
Venus,radius,6.05e6,m,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"Bit-copy (bodies[2].radius=0.0605 at 1e8 m).",,SOL-6c3ba0c8,
Venus,rotation_period,-20997360,s,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"-243.025 d x 86400 s/d (retrograde; the solarInner declaration).",,SOL-c043d94f,
Venus,semi_major_axis,1.08208e11,m,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"Bit-copy (bodies[2].x=1082.08 at 1e8 m).",,SOL-477a8478,
Venus,eccentricity,0.007,1,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"The real eccentricity declared in the solarInner descStruct (idealized to 0 there; used as the orbit here).",,SOL-2185e5f8,
Venus,orbital_period,19414166.4,s,dfm-simulator solarInner declaration (committed),https://tty-imamura.github.io/dfm-simulator/index.html,2026-08-24,"224.701 d x 86400 s/d (the solarInner obsCard observed period). Compared against, not fitted to.",,SOL-cac28426,
Uranus,mass,8.6811e25,kg,NASA NSSDC Uranus Fact Sheet (archived),https://web.archive.org/web/20240923103204/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uranusfact.html,2026-08-24,"86.811 x 10^24 kg transcribed directly. Device-collected record (wave 186 intake, accepted).",,SOL-c00bf92b,
Uranus,radius,25559000,m,NASA NSSDC Uranus Fact Sheet (archived),https://web.archive.org/web/20240923103204/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uranusfact.html,2026-08-24,"Equatorial radius (1 bar level) 25559 km converted to m.",,SOL-6ec1c7f1,
Uranus,rotation_period,62064,s,NASA NSSDC Uranus Fact Sheet (archived),https://web.archive.org/web/20240923103204/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uranusfact.html,2026-08-24,"Sidereal rotation period -17.24 h (magnetic coordinates) converted to s. Wave 196 in-plane sign convention: the NSSDC minus sign is the ecliptic-frame retrograde LABEL from the 98.0-deg obliquity; in the declared 2D plane (Uranus's equatorial plane) the rotation co-rotates with the rings and moons, so the in-plane sign is positive. The label is recorded here instead of the sign.",,SOL-c4e7720c,
Miranda,mass,6.6e19,kg,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"0.66 x 10^20 kg transcribed directly.",,SOL-ad926611,
Miranda,radius,235700,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Triaxial 240 x 234.2 x 232.9 km; arithmetic mean 235.7 km converted to m (per the record's note).",,SOL-1660e622,
Miranda,semi_major_axis,129900000,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"129.90 x 10^3 km converted to m.",,SOL-0a02c971,
Miranda,orbital_period,122124.5856,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"1.413479 d x 86400 s/d. Compared against, not fitted to.",,SOL-b2769170,
Miranda,eccentricity,0.0013,1,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,,,SOL-3bfbb235,
Miranda,rotation_period,122124.5856,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Synchronous (S).",,SOL-626d92f1,
Ariel,mass,1.29e21,kg,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"12.9 x 10^20 kg transcribed directly.",,SOL-afe67b76,
Ariel,radius,578900,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Triaxial mean 578.9 km converted to m. sigma_primary=unverified; intake 2026-09-14. sigma transcribed at the 2026-09-14 intake from the observation record provided by the original hypothesis author: 578900 +/- 600 m - JPL Solar System Dynamics, Planetary Satellite Physical Parameters, mean radius ref. 1. The value of this row is unchanged.",600,SOL-6655435a,
Ariel,semi_major_axis,190900000,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"190.90 x 10^3 km converted to m.",,SOL-c2c53499,
Ariel,orbital_period,217760.7456,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"2.520379 d x 86400 s/d. Compared against, not fitted to.",,SOL-dc7dc8ee,
Ariel,eccentricity,0.0012,1,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,,,SOL-837aea91,
Ariel,rotation_period,217760.7456,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Synchronous (S).",,SOL-04d1ce96,
Umbriel,mass,1.22e21,kg,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"12.2 x 10^20 kg transcribed directly.",,SOL-31070821,
Umbriel,radius,584700,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"584.7 km converted to m. sigma_primary=unverified; intake 2026-09-14. sigma transcribed at the 2026-09-14 intake from the observation record provided by the original hypothesis author: 584700 +/- 2800 m - JPL Solar System Dynamics, Planetary Satellite Physical Parameters, mean radius ref. 1. The value of this row is unchanged.",2800,SOL-14118dee,
Umbriel,semi_major_axis,266000000,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"266.00 x 10^3 km converted to m.",,SOL-2961b785,
Umbriel,orbital_period,358056.8064,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"4.144176 d x 86400 s/d. Compared against, not fitted to.",,SOL-6866353f,
Umbriel,eccentricity,0.0039,1,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,,,SOL-17edc369,
Umbriel,rotation_period,358056.8064,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Synchronous (S).",,SOL-b785b27a,
Titania,mass,3.42e21,kg,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"34.2 x 10^20 kg transcribed directly.",,SOL-aefc71fb,
Titania,radius,788900,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"788.9 km converted to m. sigma_primary=unverified; intake 2026-09-14. sigma transcribed at the 2026-09-14 intake from the observation record provided by the original hypothesis author: 788900 +/- 1800 m - JPL Solar System Dynamics, Planetary Satellite Physical Parameters, mean radius ref. 1. The value of this row is unchanged.",1800,SOL-2b3015e4,
Titania,semi_major_axis,436300000,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"436.30 x 10^3 km converted to m.",,SOL-0a691738,
Titania,orbital_period,752186.9088,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"8.705867 d x 86400 s/d. Compared against, not fitted to.",,SOL-5ad04eb8,
Titania,eccentricity,0.0011,1,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,,,SOL-d9047968,
Titania,rotation_period,752186.9088,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Synchronous (S).",,SOL-3adde199,
Oberon,mass,2.88e21,kg,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"28.8 x 10^20 kg transcribed directly.",,SOL-9615e61a,
Oberon,radius,761400,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"761.4 km converted to m. sigma_primary=unverified; intake 2026-09-14. sigma transcribed at the 2026-09-14 intake from the observation record provided by the original hypothesis author: 761400 +/- 2600 m - JPL Solar System Dynamics, Planetary Satellite Physical Parameters, mean radius ref. 1. The value of this row is unchanged.",2600,SOL-4017d7af,
Oberon,semi_major_axis,583500000,m,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"583.50 x 10^3 km converted to m.",,SOL-04fdd9df,
Oberon,orbital_period,1163223.4176,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"13.463234 d x 86400 s/d. Compared against, not fitted to.",,SOL-11242088,
Oberon,eccentricity,0.0014,1,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,,,SOL-de3a08e8,
Oberon,rotation_period,1163223.4176,s,NASA NSSDC Uranian Satellite Fact Sheet (archived),https://web.archive.org/web/20250815221744/https://nssdc.gsfc.nasa.gov/planetary/factsheet/uraniansatfact.html,2026-08-24,"Synchronous (S).",,SOL-e93f153f,
Uranus ring 1986U2R,ring_radial_extent,3.7e7-3.95e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,"Ring radial extents transcribed via the device-accepted real-system approximation set by the coordinator (wave 185 OUTPUT-B rules). Ring masses: since wave 192 this table carries the French et al. (2024) model estimates (ring_mass_model_* rows below); they convert to ~1e-10 units per grain, below the value floor 1e-6, so the preset keeps 1e-6 per grain as a DECLARED floor-raise (dynamics unchanged). external_name_neutralised=2026-09-18 (第271便b/AF10: 外部名を中立表現へ書き換えた。value/unit/source/url/retrieved/sigma と印は 1 文字も動かしていない)",,SOL-3c8c1f88,
Uranus ring 6,ring_radial_extent,4.1836e7-4.1838e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,"Centre radius +/- half width.",,SOL-856114ba,
Uranus ring 5,ring_radial_extent,4.2234e7-4.2236e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-c8b1ec18,
Uranus ring 4,ring_radial_extent,4.257e7-4.2572e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-199cf500,
Uranus ring Alpha,ring_radial_extent,4.4713e7-4.4723e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-11ead749,
Uranus ring Beta,ring_radial_extent,4.5656e7-4.5666e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-452f4f12,
Uranus ring Eta,ring_radial_extent,4.71755e7-4.71765e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-4ac8c376,
Uranus ring Gamma,ring_radial_extent,4.76245e7-4.76275e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-9c998823,
Uranus ring Delta,ring_radial_extent,4.83e7-4.8306e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-a560cd62,
Uranus ring Lambda,ring_radial_extent,5.0023e7-5.0025e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,,,SOL-21270bc2,
Uranus ring Epsilon,ring_radial_extent,5.1104e7-5.1194e7,m,NASA NTRS Passage to a Ringed World Appendix D,https://ntrs.nasa.gov/api/citations/20040052869/downloads/20040052869.pdf?attachment=true,2026-08-24,"The maximum of the published 20-90 km width is used as the display envelope (per the accepted approximation's note).",,SOL-09cc23b3,
Neptune,mass,1.02409e26,kg,NASA NSSDC Neptune Fact Sheet (archived),https://web.archive.org/web/20241216152509/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptunefact.html,2026-08-24,"102.409 x 10^24 kg transcribed and converted. Device-collected record (wave 186 intake, accepted).",,SOL-3dde607a,
Neptune,radius,24764000,m,NASA NSSDC Neptune Fact Sheet (archived),https://web.archive.org/web/20241216152509/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptunefact.html,2026-08-24,"Equatorial radius (1 bar level) 24764 km converted to m.",,SOL-5439f373,
Neptune,rotation_period,57996,s,NASA NSSDC Neptune Fact Sheet (archived),https://web.archive.org/web/20241216152509/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptunefact.html,2026-08-24,"Sidereal rotation period 16.11 h converted to s.",,SOL-cd5d24a0,
Triton,mass,2.14e22,kg,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,"214. x 10^20 kg transcribed and converted.",,SOL-db746089,
Triton,radius,1353400,m,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,"1353.4 km converted to m.",,SOL-fa0d6cdc,
Triton,semi_major_axis,354760000,m,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,"354.76 x 10^3 km converted to m. Inclination 157.345 deg (retrograde) deliberately ignored: the run is 2D and equatorial; since wave 188 the DIRECTION is carried via the separate inclination row, while the tilt itself is still ignored and declared.",,SOL-f544c4ff,
Triton,orbital_period,507760.1856,s,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,"5.876854 d x 86400 s/d. Compared against, not fitted to. same value as Jacobson 2009 Table 6 mean motion (2026-09-16: n=61.2572638 deg/d gives 5.876854069 d = 507760.1915 s; the 5.876854 d printed here is that value rounded)",,SOL-8e1f0f81,
Triton,eccentricity,0.000016,1,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,,,SOL-938090a8,
Triton,rotation_period,-507760.1856,s,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,"Synchronous (S) with the retrograde orbit; negative sign per the retrograde-rotation rule.",,SOL-4dee2fa3,
Triton,inclination,2.746188,rad,NASA NSSDC Neptunian Satellite Fact Sheet (archived),https://web.archive.org/web/20250818154100/https://nssdc.gsfc.nasa.gov/planetary/factsheet/neptuniansatfact.html,2026-08-24,"Inclination 157.345 deg (retrograde to Neptune equator) converted to rad. Wave 188: the app now carries the DIRECTION (retrograde, direction=-1) into the 2D placement; the tilt itself is still ignored and declared.",,SOL-14681008,
Uranus ring 6,ring_mass_model_low,4.0e12,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"SSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-1810db3a,
Uranus ring 6,ring_mass_model_high,6.78e14,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"CSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-e131e70e,
Uranus ring 5,ring_mass_model_low,2.3e13,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"SSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-0ed18851,
Uranus ring 5,ring_mass_model_high,7.51e14,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"CSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-8c5477b2,
Uranus ring 4,ring_mass_model_low,1.1e13,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"SSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-a148a0c2,
Uranus ring 4,ring_mass_model_high,8.13e14,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"CSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-6f4cd8b5,
Uranus ring alpha,ring_mass_model_low,1.9e13,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"SSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-394dca3d,
Uranus ring alpha,ring_mass_model_high,1.246e15,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"CSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-365eca7e,
Uranus ring beta,ring_mass_model_low,1.5e13,kg,French et al. (2024) Icarus 411 115957 — The Uranus System from Occultation Observations (via device-collected report),https://arxiv.org/html/2401.04634,2026-08-25,"SSG. Model-dependent value from the SSG (standard self-gravity) / CSG (collisional self-gravity) occultation models — a model range, NOT a statistical error bound.",,SOL-f1ec04b8,
