body,quantity,value,unit,source,retrieved,note
Europa,sidereal_orbital_period,3.551181,d,NASASats,2026-08,"Comparison target of the wave-138 hold-out (fixed source; unchanged by wave 162). Transcribed into MOONS[1].Pobs of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Europa,inclination,0.47,deg,NASASats,2026-08,"Declared and deliberately IGNORED: the run is two-dimensional and equatorial. Recorded so the idealization is auditable."
Ganymede,semi_major_axis,107.04,1e7 m,NASASats,2026-08,"= 1070400 km. Transcribed into MOONS[2].a of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Ganymede,eccentricity,0.0013,1,NASASats,2026-08,"Transcribed into MOONS[2].e of tests/exp-jupiter.mjs."
Ganymede,mass,0.00148,1e26 kg,NASASats,2026-08,"= 1.480e23 kg. Transcribed into MOONS[2].m of tests/exp-jupiter.mjs."
Ganymede,radius,0.26341,1e7 m,NASASats,2026-08,"= 2634.1 km. Transcribed into MOONS[2].R of tests/exp-jupiter.mjs."
Ganymede,spin,0.0101644438,rad/(1e3 s),derived,2026-08,"Derived, not observed: synchronous rotation assumed, spin = 2*pi/(P_sidereal*86400 s) per 1e3 s, with P_sidereal the row below."
Ganymede,sidereal_orbital_period,7.154553,d,NASASats,2026-08,"Comparison target of the wave-138 hold-out (fixed source; unchanged by wave 162). Transcribed into MOONS[2].Pobs of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Ganymede,inclination,0.2,deg,NASASats,2026-08,"Declared and deliberately IGNORED: the run is two-dimensional and equatorial. Recorded so the idealization is auditable."
Callisto,semi_major_axis,188.27,1e7 m,NASASats,2026-08,"= 1882700 km. Transcribed into MOONS[3].a of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Callisto,eccentricity,0.0074,1,NASASats,2026-08,"Transcribed into MOONS[3].e of tests/exp-jupiter.mjs."
Callisto,mass,0.001076,1e26 kg,NASASats,2026-08,"= 1.076e23 kg. Transcribed into MOONS[3].m of tests/exp-jupiter.mjs."
Callisto,radius,0.24103,1e7 m,NASASats,2026-08,"= 2410.3 km. Transcribed into MOONS[3].R of tests/exp-jupiter.mjs."
Callisto,spin,0.00435747966,rad/(1e3 s),derived,2026-08,"Derived, not observed: synchronous rotation assumed, spin = 2*pi/(P_sidereal*86400 s) per 1e3 s, with P_sidereal the row below."
Callisto,sidereal_orbital_period,16.689017,d,NASASats,2026-08,"Comparison target of the wave-138 hold-out (fixed source; unchanged by wave 162). Transcribed into MOONS[3].Pobs of tests/exp-jupiter.mjs. TODO(ref-verify): pin the archival URL and sheet revision at submission."
Callisto,inclination,0.19,deg,NASASats,2026-08,"Declared and deliberately IGNORED: the run is two-dimensional and equatorial. Recorded so the idealization is auditable."
Io,orbital_period_JUP365,1.762732,d,JUP365-secondary,2026-08-22,"NOT a comparison target: source-dependence control only. Transcription of a JPL Planetary Satellite Mean Elements (JUP365) mean-element period, taken at second hand from an external review of 2026-08-22; the primary table was NOT consulted (no external network egress in this environment). TODO(ref-verify): pin the primary table (URL, revision, retrieval date) and re-check every digit at submission. If the primary table disagrees, this row is discarded and the run repeated -- values are never edited in place. JPL cautions that mean elements are not intended for precise ephemeris computation."
Europa,orbital_period_JUP365,3.525463,d,JUP365-secondary,2026-08-22,"NOT a comparison target: source-dependence control only. Transcription of a JPL Planetary Satellite Mean Elements (JUP365) mean-element period, taken at second hand from an external review of 2026-08-22; the primary table was NOT consulted (no external network egress in this environment). TODO(ref-verify): pin the primary table (URL, revision, retrieval date) and re-check every digit at submission. If the primary table disagrees, this row is discarded and the run repeated -- values are never edited in place. JPL cautions that mean elements are not intended for precise ephemeris computation."
Ganymede,orbital_period_JUP365,7.155588,d,JUP365-secondary,2026-08-22,"NOT a comparison target: source-dependence control only. Transcription of a JPL Planetary Satellite Mean Elements (JUP365) mean-element period, taken at second hand from an external review of 2026-08-22; the primary table was NOT consulted (no external network egress in this environment). TODO(ref-verify): pin the primary table (URL, revision, retrieval date) and re-check every digit at submission. If the primary table disagrees, this row is discarded and the run repeated -- values are never edited in place. JPL cautions that mean elements are not intended for precise ephemeris computation."
Callisto,orbital_period_JUP365,16.69044,d,JUP365-secondary,2026-08-22,"NOT a comparison target: source-dependence control only. Transcription of a JPL Planetary Satellite Mean Elements (JUP365) mean-element period, taken at second hand from an external review of 2026-08-22; the primary table was NOT consulted (no external network egress in this environment). TODO(ref-verify): pin the primary table (URL, revision, retrieval date) and re-check every digit at submission. If the primary table disagrees, this row is discarded and the run repeated -- values are never edited in place. JPL cautions that mean elements are not intended for precise ephemeris computation."
