body,quantity,value,unit,source,url,retrieved,note
NGC 3198,stellar_mass_to_light_3.6um_disk,0.5,Msun/Lsun,SPARC fiducial convention,https://astroweb.cwru.edu/SPARC/,2026-08-31,"CONVENTION, not a measurement: SPARC tabulates Vdisk at Upsilon=1 Msun/Lsun at 3.6 um; the fiducial mass model uses Upsilon_disk=0.5. Stellar mass M* ~ 1.914e10 Msun DERIVES from L[3.6] x 0.5 (depends on D^2 and Upsilon)."
NGC 3198,v_rot(r=0.32 kpc),2.4400e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 24.4 +/- 35.9 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 1084.92 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=0.64 kpc),4.3300e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 43.3 +/- 16.3 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 590.57 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=0.96 kpc),4.5500e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 45.5 +/- 16.1 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 410.97 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=1.28 kpc),5.8500e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 58.5 +/- 15.4 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 329.34 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=1.61 kpc),6.8800e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 68.8 +/- 7.61 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 268.62 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=1.93 kpc),7.6900e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 76.9 +/- 10.3 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 247.67 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=2.24 kpc),8.2000e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 82.0 +/- 8.09 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 227.56 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=2.57 kpc),8.6900e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 86.9 +/- 7.6 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 205.02 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=2.89 kpc),9.7600e+04,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 97.6 +/- 3.03 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 200.2 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=3.21 kpc),1.0000e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 100.0 +/- 5.31 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 208.58 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=3.54 kpc),1.0700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 107.0 +/- 7.51 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 208.47 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=3.85 kpc),1.1300e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 113.0 +/- 7.32 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 196.07 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=4.17 kpc),1.1700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 117.0 +/- 5.21 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 179.96 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=4.5 kpc),1.1900e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 119.0 +/- 5.67 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 164.19 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=4.82 kpc),1.2700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 127.0 +/- 5.39 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 150.99 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=5.15 kpc),1.3200e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 132.0 +/- 4.34 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 138.08 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=5.46 kpc),1.3400e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 134.0 +/- 2.36 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 126.0 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=5.78 kpc),1.3700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 137.0 +/- 0.89 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 113.63 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=6.1 kpc),1.4000e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 140.0 +/- 2.84 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 101.19 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=6.43 kpc),1.4200e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 142.0 +/- 0.88 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 86.52 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=6.74 kpc),1.4400e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 144.0 +/- 1.23 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 70.23 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=7.06 kpc),1.4600e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 146.0 +/- 1.57 km/s (already deprojected, i=73 deg); tracer Ha-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 57.67 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=8.04 kpc),1.4700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 147.0 +/- 3.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 40.74 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=9.04 kpc),1.4800e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 148.0 +/- 3.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 31.83 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
